id,Name,Notes,team,type
135,Varun Aaron,,RR,Bowler
136,Andrew Tye,Overseas,RR,Bowler
137,Tom Curran,Overseas,RR,Bowler
138,Oshane Thomas,Overseas,RR,Bowler
139,Ankit Rajpoot,,RR,Bowler
140,Akash Singh,,RR,Bowler
141,Kartik Tyagi,,RR,Bowler
142,Mayank Markande,,RR,Bowler
143,AB de Villiers,"Overseas, Vice-captain",RCB,Batsman
144,Virat Kohli,Captain,RCB,Batsman
145,Gurkeerat Singh,Occasional wicket-keeper,RCB,Batsman
146,Devdutt Padikkal,,RCB,Batsman
147,Aaron Finch,Overseas,RCB,Batsman
148,Shivam Dube,,RCB,All-Rounder
149,Moeen Ali,Overseas,RCB,All-Rounder
150,Pawan Negi,,RCB,All-Rounder
151,Washington Sundar,,RCB,All-Rounder
152,Chris Morris,Overseas,RCB,All-Rounder
153,Pavan Deshpande,,RCB,All-Rounder
154,Parthiv Patel,,RCB,Wicket Keeper
155,Josh Philippe,,RCB,Wicket Keeper
156,Yuzvendra Chahal,,RCB,Bowler
157,Mohammed Siraj,,RCB,Bowler
158,Umesh Yadav,,RCB,Bowler
159,Navdeep Saini,,RCB,Bowler
160,Kane Richardson,Overseas,RCB,Bowler
161,Dale Steyn,Overseas,RCB,Bowler
162,Shahbaz Nadeem,,RCB,Bowler
163,Isuru Udana,Overseas,RCB,Bowler
164,Nitish Rana,,KKR,Batsman
165,Rinku Singh,,KKR,Batsman
166,Shubman Gill,,KKR,Batsman
167,Eoin Morgan,Overseas,KKR,Batsman
168,Siddhesh Lad,,KKR,Batsman
169,Rahul Tripathi,,KKR,Batsman
170,Andre Russell,Overseas,KKR,All-Rounder
171,Sunil Narine,Overseas,KKR,All-Rounder
172,Kamlesh Nagarkoti,,KKR,All-Rounder
173,Chris Green,Overseas,KKR,All-Rounder
174,Dinesh Karthik,Captain,KKR,Wicket Keeper
175,Tom Banton,Overseas,KKR,Wicket Keeper
176,Nikhil Naik,,KKR,Wicket Keeper
177,Harry Gurney,Overseas,KKR,Bowler
178,Kuldeep Yadav,,KKR,Bowler
179,Shivam Mavi,,KKR,Bowler
180,Prasidh Krishna,,KKR,Bowler
181,Sandeep Warrier,,KKR,Bowler
182,Lockie Ferguson,Overseas,KKR,Bowler
183,Pat Cummins,Overseas,KKR,Bowler
184,Varun Chakravarthy,,KKR,Bowler
185,Manimaran Siddharth,,KKR,Bowler
186,Pravin Tambe,,KKR,Bowler
